match,id_str,colors,poll_id,position,label,votes,color_name,division
1,1575829490923900928,#FBAED2,1575830099387363330,1,lavender (left),190,lavender,Pink
1,1575829490923900928,#FFA6C9,1575830099387363330,2,carnation pink (right),291,carnation pink,Pink
2,1575830537679171584,#F7468A,1575830785700950016,1,violet red (left),148,violet red,Pink
2,1575830537679171584,#FF3399,1575830785700950016,2,wild strawberry (right),367,wild strawberry,Pink
3,1575961082358685696,#F653A6,1575961307551264768,1,magenta (left),233,magenta,Pink
3,1575961082358685696,#FC80A5,1575961307551264768,2,tickle me pink (right),163,tickle me pink,Pink
4,1575966151016083456,#F091A9,1575966345430114305,1,mauvelous (left),259,mauvelous,Pink
4,1575966151016083456,#FF91A4,1575966345430114305,2,salmon (right),192,salmon,Pink
5,1576194822939226112,#FD0E35,1576194987217518592,1,scarlet,258,scarlet,Red
5,1576194822939226112,#ED0A3F,1576194987217518592,2,red,289,red,Red
6,1576208504867942400,#C62D42,1576208670714568704,1,brick red (left),326,brick red,Red
6,1576208504867942400,#CA3435,1576208670714568704,2,mahogany (right),83,mahogany,Red
7,1576240037108543489,#FEBAAD,1576240203513049088,1,melon (left),167,melon,Orange/Brown
7,1576240037108543489,#FE6F5E,1576240203513049088,2,bittersweet (right),208,bittersweet,Orange/Brown
8,1576291185659822080,#FF681F,1576291858694537216,1,red orange (left),340,red orange,Orange/Brown
8,1576291185659822080,#FF7034,1576291858694537216,2,burnt orange (right),90,burnt orange,Orange/Brown
9,1576323162588880896,#E97451,1576323484900560896,1,burnt sienna (left),193,burnt sienna,Orange/Brown
9,1576323162588880896,#FF8833,1576323484900560896,2,orange (right),333,orange,Orange/Brown
10,1576351878312759296,#FAA76C,1576352226184159232,1,tan (left),123,tan,Orange/Brown
10,1576351878312759296,#FFAE42,1576352226184159232,2,yellow orange (right),333,yellow orange,Orange/Brown
11,1576551225180401664,#FDD5B1,1576551395162877954,1,apricot (left),214,apricot,Orange/Brown
11,1576551225180401664,#FFCBA4,1576551395162877954,2,peach (right),236,peach,Orange/Brown
12,1576569474484162560,#FFB97B,1576569719129186304,1,macaroni and cheese (l),273,macaroni and cheese,Orange/Brown
12,1576569474484162560,#D27D46,1576569719129186304,2,raw sienna (r),152,raw sienna,Orange/Brown
