match,poll,id_str,full_text
12,TRUE,1576569719129186304,"#crayonbracket🖍 Match #12:
[photo in previous tweet]"
12,FALSE,1576569474484162560,"#crayonbracket🖍 Match #12:

#FFB97B vs. #D27D46

[crayon names &amp; poll in next tweet] https://t.co/8QWLaDVYzQ"
13,TRUE,1576589752584634369,"#crayonbracket🖍 Match #13:
 [photo in previous tweet]"
13,FALSE,1576589585395523586,"#crayonbracket🖍 Match #13:

#B94E48 vs. #AF593E 

[crayon names &amp; poll in next tweet] https://t.co/34cjWIemUs"
14,TRUE,1576616359269896192,"#crayonbracket🖍 Match #14:
 [photo in previous tweet]"
14,FALSE,1576616206362034177,"#crayonbracket🖍 Match #14:

#9E5B40 vs. #DEA681

[crayon names &amp; poll in next tweet] https://t.co/y4e3oTKUQC"
15,TRUE,1576649468979515393,"#crayonbracket🖍 Match #15:
 [photo in previous tweet]"
15,FALSE,1576649342500605952,"#crayonbracket🖍 Match #15:

#E6BE8A vs. #FCD667

[crayon names &amp; poll in next tweet] https://t.co/DAhnPPyq9O"
16,TRUE,1576707890953351168,"#crayonbracket🖍 Match #16
 [photo in previous tweet]"
16,FALSE,1576707739480248322,"#crayonbracket🖍 Match #16 is the final Warm League match of round 1.

#FBE870 vs. #F1E788

[crayon names &amp; poll in next tweet] https://t.co/UDsmBFt0dm"
17,TRUE,1577047259329331200,"#crayonbracket🖍 Match #17:
[photo in previous tweet]"
17,FALSE,1577046976784306176,"we made it to the Cool League!

🎶 Let’s go crazy / Let’s get nuts /
We’ll vote for the best purple crayon until they throw us in the truck. Let’s go!

#crayonbracket🖍 Match #17:

#BB3385 vs. #8E3179

[crayon names &amp; poll in next tweet] https://t.co/rVavKtciYa"
18,TRUE,1577049562849906688,"#crayonbracket🖍 Match #18:
[photo in previous tweet]"
18,FALSE,1577049381232340993,"If I was your crayon /
Sometimes I trip on how happy we could be

#crayonbracket🖍 Match #18:

#E29CD2 vs. #D6AEDD

[crayon names &amp; poll in next tweet] https://t.co/b43am28Q66"
19,TRUE,1577059054979272705,"#crayonbracket🖍 Match #19:
 [photo in previous tweet]"
19,FALSE,1577058623825772545,"Purple crayon, purple crayon /
Purple crayon, purple crayon /
Purple crayon, purple crayon /
I only want to see you voting for a purple crayon 🎸 

#crayonbracket🖍 Match #19:

#C9A0DC vs. #8359A3

[crayon names &amp; poll in next tweet] https://t.co/uQoHeRWXWv"
20,TRUE,1577073053485649921,"#crayonbracket🖍 Match #20:
 [photo in previous tweet]"
20,FALSE,1577072635988832257,"I’m not a woman 
I’m not a man 
I’m a crayon that you’ll never understand 
I’ll never color
Outside the lines 
And if you break me I’ll forgive you by and by

#crayonbracket🖍 Match #20:

#6456B7 vs. #C3CDE6

[crayon names &amp; poll in next tweet] https://t.co/SfK7GjLc9Z"
21,TRUE,1577268116689924097,"#crayonbracket🖍 Match #21:
[photo in previous tweet]"
